group_slug,group_name,group_legal_name_guess,group_website,group_weddings_url,group_hq_state,group_hq_suburb,group_size_estimate,abn_lookup_strategy,group_notes
merivale,Merivale,Merivale Group Pty Ltd,https://merivale.com,https://merivale.com/partiesandevents/weddings-engagements/,NSW,Sydney,70+,operator_group_lookup,Founded 1958. Run by Justin Hemmes since 2007. ALREADY SEEDED.
solotel,Solotel,Solotel Pty Ltd / Solomon Family,https://solotel.com.au,https://solotel.com.au/weddings,NSW,Sydney,30,operator_group_lookup,"Family-owned Solomon family. CEO Elliot Solomon. 26-30 venues across NSW + QLD."
trippas-white,Trippas White Group,Trippas White Group Pty Ltd,https://trippaswhitegroup.com.au,https://trippaswhitegroup.com.au/events/weddings/,NSW,Sydney,150+,operator_group_lookup,"Manages 150+ venues. 17 wedding-relevant including Sydney Opera House, Taronga Zoo, Sydney Tower, AWM, NGA Canberra."
grand-pacific-group,Grand Pacific Group,Grand Pacific Group Pty Ltd,https://grandpacificgroup.com.au,https://grandpacificgroup.com.au,NSW,Mosman,7,operator_group_lookup,Sydney harbour heritage. Different operator to thevenuesco.au — DO NOT CONFLATE.
the-venues-collection,The Venues Collection,The Venues Collection Pty Ltd,https://thevenuesco.au,https://thevenuesco.au/weddings/,NSW,Sydney,6,operator_group_lookup,"Watersedge, Orso Bayside etc. Different to Grand Pacific Group despite name overlap."
doltone-house,Doltone House,Doltone House Pty Ltd / Signorelli Family,https://doltonehouse.com.au,https://doltonehouse.com.au/wedding-events/,NSW,Sydney,6,operator_group_lookup,Signorelli family-owned. Sydney harbour and Western Sydney.
navarra-venues,Navarra Venues,Navarra Venues Pty Ltd / Navarra Family,https://navarravenues.com.au,https://navarravenues.com.au/weddings,NSW,Macquarie Park,6,operator_group_lookup,"Navarra family. Curzon Hall ('Sydney's only castle'), Le Montage, Oatlands House."
fink-group,Fink Group,Fink Group Pty Ltd / Leon Fink,https://finkgroup.com.au,,NSW,Sydney,5,operator_group_lookup,"Premium restaurant group. Quay, Bennelong, Otto Sydney, Bea, Beach Byron Bay."
sydney-restaurant-group,Sydney Restaurant Group,Sydney Restaurant Group Pty Ltd,https://srghospitality.com.au,https://srghospitality.com.au/venues/,NSW,Sydney,8,operator_group_lookup,"Iconic waterfront dining. Aqua Dining, The Fenwick, Sails, Ventuno, Ripples Chowder Bay."
dedes-waterfront,Dedes Waterfront Group,Dedes Group Pty Ltd / Dedes Family,https://dedesgroup.com.au,https://dedesgroup.com.au/weddings/,NSW,Sydney,4,operator_group_lookup,"Dedes family. Deckhouse, Flying Fish, Dedes at the Point, Le Shed."
